2016-03-03 08:24:04 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Status atualizado: 2
2016-03-03 08:24:05 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 08:24:41 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Status atualizado: 6
2016-03-03 08:24:43 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Status atualizado: 2
2016-03-03 08:24:44 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 08:24:57 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Status atualizado: 6
2016-03-03 08:24:59 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Status atualizado: 2
2016-03-03 08:25:00 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 08:25:06 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Status atualizado: 6
2016-03-03 08:25:07 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Status atualizado: 2
2016-03-03 08:25:08 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 08:25:54 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Status atualizado: 6
2016-03-03 08:25:56 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Status atualizado: 2
2016-03-03 08:25:57 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 08:26:28 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Status atualizado: 6
2016-03-03 08:26:31 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Status atualizado: 2
2016-03-03 08:26:32 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 08:26:50 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Status atualizado: 6
2016-03-03 08:26:51 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Status atualizado: 2
2016-03-03 08:26:52 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 08:27:16 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Status atualizado: 6
2016-03-03 08:27:17 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Status atualizado: 2
2016-03-03 08:27:20 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-03 08:28:53 | Code: 07BE9E79-D7A2-4916-A26B-C08635E3F7D5 | Status atualizado: 6
2016-03-03 08:28:54 | Code: 3124EB8E-21E2-470C-AE11-6068AD626D57 | Status atualizado: 2
2016-03-03 08:28:56 | Code: EF9C7E71-C1DB-4EB2-AE64-FB794470F657 | Status atualizado: 3
2016-03-04 04:45:21 | Code: 2452CC50-0713-42A4-8E65-E7879ACDB3D4 | Notificação enviada: 3
2016-03-04 05:07:33 | Code: 2452CC50-0713-42A4-8E65-E7879ACDB3D4 | Status atualizado: 3
2016-03-04 05:07:55 | Code: 2452CC50-0713-42A4-8E65-E7879ACDB3D4 | Status atualizado: 3
2016-03-04 05:08:17 | Code: 2452CC50-0713-42A4-8E65-E7879ACDB3D4 | Status atualizado: 3
2016-03-04 05:08:18 | Code: 2452CC50-0713-42A4-8E65-E7879ACDB3D4 | Status atualizado: 3
2016-03-05 04:55:27 | Code: DE520808-C45C-4A98-AB6F-5DB859F9D578 | Notificação enviada: 3
2016-03-05 04:55:28 | Code: 7F2EE2D0-37F6-40E1-B19D-87E77D3643B9 | Notificação enviada: 3
2016-03-05 04:55:29 | Code: E1FA1520-1072-48C6-AEEF-550416760C70 | Status atualizado: 3
2016-03-05 04:55:30 | Code: B934F762-F3AF-45A1-8E37-F01573E18525 | Notificação enviada: 3
2016-03-05 04:55:31 | Code: CFF791B1-17AF-4C27-ACB6-40746314C671 | Notificação enviada: 6
2016-03-05 04:55:31 | Code: 6035C7E2-AE32-49D7-8C37-82BC37183891 | Notificação enviada: 3
2016-03-05 04:55:32 | Code: D001341A-4F30-4C18-AE54-5F7461525FB7 | Status atualizado: 3
2016-03-05 04:55:33 | Code: 2452CC50-0713-42A4-8E65-E7879ACDB3D4 | Notificação enviada: 4
2016-03-05 04:56:03 | Code: DE520808-C45C-4A98-AB6F-5DB859F9D578 | Status atualizado: 3
2016-03-05 04:56:04 | Code: 7F2EE2D0-37F6-40E1-B19D-87E77D3643B9 | Status atualizado: 3
2016-03-05 04:56:05 | Code: E1FA1520-1072-48C6-AEEF-550416760C70 | Status atualizado: 3
2016-03-05 04:56:06 | Code: B934F762-F3AF-45A1-8E37-F01573E18525 | Status atualizado: 3
2016-03-05 04:56:07 | Code: CFF791B1-17AF-4C27-ACB6-40746314C671 | Status atualizado: 6
2016-03-05 04:56:08 | Code: 6035C7E2-AE32-49D7-8C37-82BC37183891 | Status atualizado: 3
2016-03-05 04:56:09 | Code: D001341A-4F30-4C18-AE54-5F7461525FB7 | Status atualizado: 3
2016-03-05 04:56:10 | Code: 2452CC50-0713-42A4-8E65-E7879ACDB3D4 | Status atualizado: 4
